,soup
1792,"['clint eastwood', 'harry guardino', 'reni santoni', 'john vernon', 'andrew robinson'] don siegel ['ambush', 'san francisco', 'detective', 'ransom', 'stadium'] when a madman dubbed the ""scorpio killer"" terrorizes san francisco, hard-boiled cop harry callahan -- famous for his take-no-prisoners approach to law enforcement -- is tasked with hunting down the psychopath. harry eventually collars scorpio in the process of rescuing a kidnap victim, only to see him walk on technicalities. now, the maverick detective is determined to nail the maniac himself. dirty harry  ['action', 'crime', 'thriller']"
1793,"['roddy mcdowall', 'kim hunter', 'bradford dillman', 'natalie trundy', 'eric braeden'] don taylor ['spacecraft', 'pacifism', 'human being', 'cage', 'dystopia'] the world is shocked by the appearance of two talking chimpanzees, who arrived mysteriously in a u.s. spacecraft. they become the toast of society; but one man believes them to be a threat to the human race. escape from the planet of the apes  ['action', 'sci-fi']"
1794,"['angela lansbury', 'david tomlinson', 'roddy mcdowall', 'sam jaffe', 'john ericson'] robert stevenson ['flying', 'witch', 'world war ii', 'magic broomstick'] three children evacuated from london during world war ii are forced to stay with an eccentric spinster (eglantine price). the children's initial fears disappear when they find out she is in fact a trainee witch. bedknobs and broomsticks  ['adventure', 'children', 'musical']"
1795,"['ruth gordon', 'bud cort', 'cyril cusack', 'charles tyner', 'ellen geer'] hal ashby ['suicide', 'life and death', 'depression', 'age difference', 'cemetery'] the young harold lives in his own world of suicide-attempts and funeral visits to avoid the misery of his current family and home environment. harold meets an 80-year-old woman named maude who also lives in her own world yet one in which she is having the time of her life. when the two opposites meet they realize that their differences donâ€™t matter and they become best friends and love each other. harold and maude  ['comedy', 'drama', 'romance']"
1796,"['gene hackman', 'fernando rey', 'roy scheider', 'tony lo bianco', 'marcel bozzuffi'] william friedkin ['police brutality', 'marseille', 'night life', 'attempted murder', 'drug dealer'] tough narcotics detective 'popeye' doyle is in hot pursuit of a suave french drug dealer who may be the key to a huge heroin-smuggling operation. french connection, the  ['action', 'crime', 'thriller']"
1797,"['graham chapman', 'john cleese', 'terry gilliam', 'eric idle', 'terry jones'] ian macnaughton ['blackmail', 'humor', 'stupidity', 'comedy', 'based on tv series'] and now for something completely different is a film spin-off from the television comedy series monty python's flying circus featuring favourite sketches from the first two seasons. monty python's and now for something completely different  ['comedy']"
1798,"['woody allen', 'louise lasser', 'carlos montalbã¡n', 'nati abascal', 'jacobo morales'] woody allen ['revolution', 'political activism', 'loser'] when a bumbling new yorker is dumped by his activist girlfriend, he travels to a tiny latin american nation and becomes involved in its latest rebellion. bananas  ['comedy', 'war']"
1799,"['arnold schwarzenegger', 'sharon stone', 'rachel ticotin', 'ronny cox', 'michael ironside'] paul verhoeven ['oxygen', 'falsely accused person', 'resistance', 'mars', 'double life'] construction worker douglas quaid discovers a memory chip in his brain during a virtual-reality trip. he also finds that his past has been invented to conceal a plot of planetary domination. soon, he's off to mars to find out who he is and who planted the chip. total recall  ['action', 'adventure', 'sci-fi', 'thriller']"
1800,"['robert de niro', 'ray liotta', 'joe pesci', 'lorraine bracco', 'paul sorvino'] martin scorsese ['prison', 'helicopter', 'florida', '1970s', 'mass murder'] henry hill is a small time gangster, who takes part in a robbery with jimmy conway and tommy de vito, two other gangsters who have set their sights a bit higher. his two partners kill off everyone else involved in the robbery, and slowly start to climb up through the hierarchy of the mob. henry, however, is badly affected by his partners success, but will he stoop low enough to bring about the downfall of jimmy and tommy? goodfellas  ['crime', 'drama']"
1801,"['bruce willis', 'bonnie bedelia', 'william atherton', 'reginald veljohnson', 'franco nero'] renny harlin ['ambush', 'helicopter', 'journalist', 'based on novel', 'airport'] john mcclane is an off-duty cop gripped with a feeling of dã©jã  vu when on a snowy christmas eve in the nation's capital, terrorists seize a major international airport, holding thousands of holiday travelers hostage. renegade military commandos led by a murderous rogue officer plot to rescue a drug lord from justice and are prepared for every contingency except one: mcclane's smart-mouthed heroics. die hard 2  ['action', 'adventure', 'thriller']"
1802,"['michael j. fox', 'christopher lloyd', 'mary steenburgen', 'thomas f. wilson', 'lea thompson'] robert zemeckis ['jules verne', 'railroad robber', 'california', 'car race', 'delorean'] the final installment of the back to the future trilogy finds marty digging the trusty delorean out of a mineshaft and looking up doc in the wild west of 1885. but when their time machine breaks down, the travelers are stranded in a land of spurs. more problems arise when doc falls for pretty schoolteacher clara clayton, and marty tangles with buford tannen. back to the future part iii  ['adventure', 'comedy', 'sci-fi', 'western']"
1803,"['johnny depp', 'winona ryder', 'dianne wiest', 'alan arkin', 'anthony michael hall'] tim burton ['underdog', 'love at first sight', 'hairdresser', 'small town', 'scissors'] a small suburban town receives a visit from a castaway unfinished science experiment named edward. edward scissorhands  ['drama', 'fantasy', 'romance']"
1804,"['julia roberts', 'richard gere', 'ralph bellamy', 'jason alexander', 'hã©ctor elizondo'] garry marshall ['prostitute', 'capitalism', 'cinderella', 'expensive restaurant', 'sports car'] when millionaire wheeler-dealer edward lewis enters a business contract with hollywood hooker vivian ward, he loses his heart in the bargain in this charming romantic comedy. after edward hires vivian as his date for a week and gives her a cinderella makeover, she returns the favor by mellowing the hardnosed tycoon's outlook. can the poor prostitute and the rich capitalist live happily ever after? pretty woman  ['comedy', 'romance']"
1805,"['al pacino', 'diane keaton', 'andy garcã\xada', 'talia shire', 'sofia coppola'] francis ford coppola ['italy', 'christianity', 'new york', 'assassination', 'italo-american'] in the midst of trying to legitimize his business dealings in 1979 new york and italy, aging mafia don, michael corleone seeks forgiveness for his sins while taking a young protege under his wing. godfather: part iii, the  ['crime', 'drama', 'mystery', 'thriller']"
1806,"['kevin costner', 'mary mcdonnell', 'graham greene', 'rodney a. grant', 'floyd red crow westerman'] kevin costner ['countryside', 'indian', 'suicide attempt', 'culture clash', 'loss of family'] wounded civil war soldier john dunbar tries to commit suicide -- and becomes a hero instead. as a reward, he's assigned to his dream post, a remote junction on the western frontier, and soon makes unlikely friends with the local sioux tribe. dances with wolves  ['adventure', 'drama', 'western']"
1807,"['patrick swayze', 'demi moore', 'tony goldwyn', 'whoopi goldberg', 'vincent schiavelli'] jerry zucker ['corruption', 'fortune teller', 'money transfer', 'money laundering', 'pottery'] gothamites sam and molly see their romance shattered when a street thug kills sam during a mugging. but love endures beyond the grave when a spectral sam learns that molly is in danger and he must find a way to warn her before she suffers his fate. ghost  ['comedy', 'drama', 'fantasy', 'romance', 'thriller']"
1808,"['judith hoag', 'elias koteas', 'josh pais', 'brian tochi', 'leif tilden'] steve barron ['skateboarding', 'martial arts', 'mutant', 'pizza delivery', 'ninjas'] a quartet of mutated humanoid turtles clash with an uprising criminal gang of ninjas teenage mutant ninja turtles  ['action', 'children', 'comedy', 'fantasy', 'sci-fi']"
1809,"['james caan', 'kathy bates', 'richard farnsworth', 'frances sternhagen', 'lauren bacall'] rob reiner ['stephen king'] novelist paul sheldon crashes his car on a snowy colorado road. he is found by annie wilkes, the ""number one fan"" of paul's heroine misery chastaine. annie is also somewhat unstable, and paul finds himself crippled, drugged and at her mercy. misery  ['drama', 'horror', 'thriller']"
1810,"['sylvester stallone', 'talia shire', 'burt young', 'sage stallone', 'burgess meredith'] john g. avildsen ['philadelphia', 'transporter', 'father-son relationship', 'cataclysm', 'trainer'] a lifetime of taking shots has ended rocky's career, and a crooked accountant has left him broke. inspired by the memory of his trainer, however, rocky finds glory in training and takes on an up-and-coming boxer. rocky v  ['action', 'drama']"
1811,"['alec baldwin', 'sean connery', 'scott glenn', 'sam neill', 'james earl jones'] john mctiernan ['submarine', 'cold war', 'russian', 'defection', 'jack ryan'] a new soviet nuclear missile sub (a boomer) heading out on her maiden voyage that is being tracked by a los angeles class american submarine suddenly goes silent and ""disappears"". this focuses the attention of both u.s. intelligence and the u.s. navy on the russian sub commander .  when it is determined that the silent soviet boomer may be headed for american coastal waters panic ensues. a cia analyst, jack ryan,  convinces the brass that the boomer's commander may intend something other than a nuclear first strike in mind. a perilous and tense cat-and-mouse game ensues. hunt for red october, the  ['action', 'adventure', 'thriller']"
